variable,rho,p_value,p_bonferroni
pct_asian,-0.817939097,3.40409216920005e-08,7.48900277224011e-07
disability_rate,0.751279199,4.10446770784241e-06,9.02982895725331e-05
alt_housing_rate,0.706340378,2.18868772433896e-05,0.000481511
pct_black,-0.69866413,1.75519596439472e-05,0.000386143
outdoor_worker_rate,0.676529477,6.2262334720023e-05,0.001369771
pct_age65,0.53192436,0.00285185,0.062740708
housing_overcrowding,-0.498902724,0.005010059,0.110221291
median_income,-0.484760845,0.007223408,0.158914971
pct_white,0.468743048,0.00964917,0.212281743
owner_burden_rate,-0.308565072,0.097353917,1
renter_burden_rate,-0.285873192,0.125605838,1
elderly_alone_rate,0.239154616,0.202313482,1
poverty_rate,0.220022247,0.241637709,1
language_isolation,-0.207364558,0.271538447,1
uninsured_rate,0.180867631,0.337336463,1
education_low,0.164849833,0.382415785,1
pct_hispanic,-0.157730812,0.403536471,1
no_phone_rate,-0.105345277,0.5795599,1
pct_age17,-0.086095662,0.649873894,1
vehicle_rate,-0.084353447,0.657633998,1
unemployment_rate,0.062068966,0.743883482,1
old_housing_rate,-0.02647386,0.889768121,1
vulnerability_score_composite,0.166629588,0.377239162,NA
